CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Fremont city, California",214672,217703,221891,225411,228998,232206,-94.81912849999999, 38.8813958
"Fresno city, California",496967,501235,505806,509827,515444,520052,-83.01465259999999, 42.5144566
"Frisco city, Texas",118104,123577,128608,137044,145189,154407,-84.1916069, 39.7589478
"Fullerton city, California",135381,136661,138576,139275,139613,140847,-80.30356019999999, 25.9860762
"Gainesville city, Florida",124701,125731,126311,127074,128554,130128,-75.66241219999999, 41.408969
"Gaithersburg city, Maryland",60184,61512,63067,65858,66811,67456,-112.0010501, 40.6916132
"Galveston city, Texas",47820,47650,48356,49021,49669,50180,-104.9719243, 39.8680412
"Garden Grove city, California",171273,173289,174390,175218,175381,175393,-97.1466695, 31.549333
"Gardena city, California",58859,59244,59585,60111,60256,60447,-83.0302033, 42.5803122
"Garland city, Texas",227338,230195,233775,234803,235648,236897,-81.0348144, 34.0007104
"Gary city, Indiana",80226,79677,79141,78529,77960,77156,-96.8899636, 32.9756415
"Gastonia city, North Carolina",71736,71999,72766,73116,73674,74543,-79.93105120000001, 32.7764749
"Georgetown city, Texas",48004,50318,52515,54898,59105,63716,-117.9608978, 34.0852868
"Gilbert town, Arizona",209699,214123,222148,230690,239415,247542,-122.2284532, 47.30732279999999
"Gilroy city, California",48956,49685,50742,51951,52584,53231,-122.0438298, 37.5933918
"Glendale city, Arizona",226550,228778,232272,235287,237474,240126,-95.5377215, 29.6185669
"Glendale city, California",191869,193151,194649,196461,199741,201020,-81.378447, 40.79894729999999
"Glendora city, California",50195,50528,50777,51191,51215,52009,-98.1836216, 26.1947962
"Goodyear city, Arizona",65522,67260,69490,72927,75722,79003,-91.5301683, 41.6611277
"Grand Forks city, North Dakota",52997,52765,53647,55096,56215,57011,-83.1499322, 42.65836609999999
"Grand Island city, Nebraska",48823,49479,50112,50648,51252,51440,-75.37045789999999, 40.6259316
"Grand Junction city, Colorado",59027,59613,59871,59941,59934,60358,-83.2218731, 42.4733688
"Grand Prairie city, Texas",175976,178793,181847,183752,185554,187809,-97.13306829999999, 33.2148412
"Grand Rapids city, Michigan",188054,189090,190713,192868,194249,195097,-90.704279, 35.84229670000001
"Grapevine city, Texas",46610,47138,48452,50160,50778,51404,-94.84668099999999, 39.7674578
"Great Falls city, Montana",59247,59462,59417,59725,59582,59638,-86.87528689999999, 40.4167022
"Greeley city, Colorado",93220,94280,95325,96592,98312,100883,-75.5397878, 39.7390721
"Green Bay city, Wisconsin",103993,104391,104831,104848,104860,105207,-94.97742740000001, 29.7355047
"Greensboro city, North Carolina",269514,272553,276438,279844,282948,285342,-100.7837392, 46.8083268
"Greenville city, North Carolina",84976,86256,87675,89003,89577,90597,-111.9710529, 41.0602216
"Greenville city, South Carolina",59330,59981,60622,61284,62319,64579,-72.7795419, 41.6612104
"Greenwood city, Indiana",51226,52093,52894,53841,54671,55586,-88.0834059, 42.0333607
"Gresham city, Oregon",105983,107549,108794,109371,110109,110553,-117.6483876, 34.09751
"Gulfport city, Mississippi",67932,68885,69957,71110,71530,71856,-88.41538469999999, 44.2619309
"Hamilton city, Ohio",62326,62334,62273,62299,62451,62407,-86.8688899, 35.9250637
"Hammond city, Indiana",80735,80183,79635,79011,78434,77614,-87.68769689999999, 42.0450722
"Hampton city, Virginia",137448,136601,137163,137376,137813,136454,-88.0683955, 41.69864159999999
"Hanford city, California",54115,54341,54305,54598,55029,55659,-121.2160526, 37.7974273
"Harlingen city, Texas",65085,65658,65842,65879,65873,65774,-97.342782, 31.0982344
"Harrisonburg city, Virginia",49048,49757,51100,51288,52258,52538,-81.8723084, 26.640628
"Hartford city, Connecticut",125367,125405,125115,125084,124466,124006,-88.9548001, 39.8403147
"Haverhill city, Massachusetts",60976,61428,61729,62079,62370,62765,-85.7053085, 42.9133602
"Hawthorne city, California",84332,85112,85678,86338,87373,88451,-93.4555093, 45.0105194
"Hayward city, California",144854,147082,149651,152097,154793,158289,-117.2286478, 33.7825194
"Hemet city, California",79145,80380,81292,82079,82996,83861,-81.18730049999999, 35.262082
"Hempstead village, New York",53966,54108,54920,55467,55535,55547,-105.0749801, 40.3977612
"Henderson city, Nevada",257868,259916,265068,270517,277302,285667,-74.1284764, 40.8567662
"Hendersonville city, Tennessee",51514,52421,53116,54084,55215,56018,-93.2173758, 30.2265949
"Hesperia city, California",90389,91395,91913,92249,92649,93295,-118.2114603, 33.930293
"Hialeah city, Florida",225549,231366,233620,235425,236144,237069,-103.2310149, 44.0805434
"High Point city, North Carolina",104610,105855,106703,107776,109046,110268,-81.02507840000001, 34.9248667
"Highland city, California",53234,53752,54090,54372,54594,54854,-75.1196199, 39.9259463
"Hillsboro city, Oregon",92501,94120,95423,97477,99439,102347,-121.1760583, 38.6779591
"Hoboken city, New Jersey",50095,50966,51818,52672,53173,53635,-87.98062650000001, 42.0883603
"Hoffman Estates village, Illinois",51944,52123,52276,52396,52367,52138,-117.1858759, 34.5008311
"Hollywood city, Florida",141133,143633,145580,146923,148084,149728,-102.0779146, 31.9973456
"Homestead city, Florida",60810,62781,63632,64646,65686,66498,-117.1825381, 34.0555693
"Hoover city, Alabama",81182,81751,83093,83750,84269,84848,-113.996586, 46.87871759999999
"Houston city, Texas",2114761,2142221,2177376,2216460,2256192,2296224,-84.15574099999999, 31.5785074
"Huntersville town, North Carolina",46971,48083,49292,50501,51556,52704,-88.2314813, 43.0116784
"Huntington Beach city, California",191389,193351,194816,198012,200730,201899,-71.38255579999999, 41.878711
"Huntington Park city, California",58137,58452,58730,59050,59317,59430,-83.624201, 32.6130007
"Huntsville city, Alabama",180869,182205,183715,186155,188205,190582,-97.0969552, 33.0145673
"Idaho Falls city, Idaho",57078,57628,58070,58297,58655,59184,-89.0928155, 30.3674198
"Independence city, Missouri",116855,116805,117243,117255,117502,117255,-121.9780153, 37.7799273
"Indianapolis city (balance), Indiana",821632,827400,834673,843532,849052,853173,-80.0905465, 26.5317866
"Indio city, California",79652,81159,82495,83715,85607,87533,-85.5872286, 42.2917069
"Inglewood city, California",109727,110770,111299,111586,111652,111666,-80.2133808, 26.1403635
"Iowa City city, Iowa",68021,69189,70453,71885,73542,74220,-85.3863599, 40.1933767
"Irvine city, California",213344,220502,229609,236939,248401,256927,-95.45605119999999, 30.3118769
"Irving city, Texas",216879,220006,225734,229051,232510,236607,-93.7321228, 32.5159852
"Jackson city, Mississippi",173750,175390,175197,172774,171797,170674,-80.3997748, 26.1003654
"Jackson city, Tennessee",66906,66791,67176,67614,67252,66975,-74.02375119999999, 40.7795455
